,rater,group,partition,bits
0,5100,french,group_unique,-0.005199071405896705
1,5101,french,group_unique,-0.00537665237329521
2,5102,french,group_unique,0.008187848982695423
3,5104,english_uk,group_unique,0.048181537207902414
4,5105,english_uk,group_unique,0.011422372992934804
5,5106,german,group_unique,-0.007260827261856395
6,5112,german,group_unique,0.005335968061301211
7,5122,french,group_unique,0.004810685573733764
8,5123,german,group_unique,-0.007587797694692533
9,5124,german,group_unique,0.005873117681690743
10,5125,german,group_unique,-0.015096811553169331
11,5130,french,group_unique,0.0015214579915139304
12,5131,english_uk,group_unique,0.02597788334088902
13,5132,english_uk,group_unique,0.0007204456273220972
14,5136,english_uk,group_unique,0.003670984413474798
15,5137,english_uk,group_unique,0.020258355934761108
16,5138,german,group_unique,-0.006335778808294723
17,5139,german,group_unique,-0.01234293860799962
18,5143,german,group_unique,-0.012436434871664348
19,5144,german,group_unique,0.007739582344105322
20,5145,french,group_unique,0.00895653674869168
21,5146,french,group_unique,0.0013721950450225062
22,5147,french,group_unique,0.005315223904816646
23,5148,french,group_unique,0.010397259501348177
24,5151,german,group_unique,0.0029287616428184116
25,5154,german,group_unique,-0.017168383395887554
26,5156,german,group_unique,-0.0005008792504668236
27,5158,english_uk,group_unique,-0.00977799580677563
28,5160,english_uk,group_unique,-0.007699166988267558
29,5161,english_uk,group_unique,0.033736886499498686
30,5163,german,group_unique,0.000443293762050212
31,5164,french,group_unique,-0.007289053709858884
32,5166,french,group_unique,-0.0067837839382454135
33,5167,french,group_unique,0.00710113895260478
34,5169,french,group_unique,-0.005605365933948336
35,5170,french,group_unique,-0.0011495323851704597
36,5173,german,group_unique,0.0006979649984524272
37,5174,german,group_unique,0.0034249938203414487
38,5176,german,group_unique,0.019094491181404827
39,5177,german,group_unique,0.006623529571745612
40,5178,german,group_unique,-0.00897575066866052
41,5179,german,group_unique,0.015202793170158824
42,5180,english_uk,group_unique,0.005376092672936261
43,5184,english_uk,group_unique,0.01639234966990588
44,5185,english_uk,group_unique,0.013395046749409611
45,5186,english_uk,group_unique,0.025357383719988746
46,5189,french,group_unique,-0.024126618316299142
47,5191,french,group_unique,0.00227481468678703
48,5192,french,group_unique,0.011292791668031432
49,5223,english_uk,group_unique,0.04653728725143558
50,5224,english_uk,group_unique,0.00832202073836108
51,5226,english_uk,group_unique,0.004893583545804381
52,5227,english_uk,group_unique,0.002193811986791472
53,5228,english_uk,group_unique,0.018290511405977816
54,5229,english_uk,group_unique,-0.012278947292974074
55,5230,english_uk,group_unique,-0.0030176019247032393
56,5233,french,group_unique,-0.01177482735855806
57,5237,french,group_unique,-0.0026286651110767334
58,5242,german,group_unique,0.00032707450813362904
59,5244,french,group_unique,0.01019920764098825
60,5100,french,rating_unique,0.04563123642736544
61,5101,french,rating_unique,-0.004319086474807721
62,5102,french,rating_unique,0.08943389256876944
63,5104,english_uk,rating_unique,0.05172484332548555
64,5105,english_uk,rating_unique,0.02523173809076029
65,5106,german,rating_unique,0.017183121943258106
66,5112,german,rating_unique,0.11385915775807853
67,5122,french,rating_unique,0.03751495495242496
68,5123,german,rating_unique,0.024184527561852853
69,5124,german,rating_unique,0.03586416197695619
70,5125,german,rating_unique,0.01769477685325227
71,5130,french,rating_unique,0.023078501788213135
72,5131,english_uk,rating_unique,0.03671409860008268
73,5132,english_uk,rating_unique,0.018080860593870818
74,5136,english_uk,rating_unique,0.010987284127622843
75,5137,english_uk,rating_unique,0.016113186818792702
76,5138,german,rating_unique,0.02367306781601841
77,5139,german,rating_unique,0.08865343397605785
78,5143,german,rating_unique,0.009800208781502784
79,5144,german,rating_unique,0.035166954327570776
80,5145,french,rating_unique,0.0327227507276755
81,5146,french,rating_unique,0.04029997011744668
82,5147,french,rating_unique,0.002467378287723143
83,5148,french,rating_unique,0.03654415855233206
84,5151,german,rating_unique,0.07469566683530027
85,5154,german,rating_unique,0.015069667458240121
86,5156,german,rating_unique,0.039751477294454274
87,5158,english_uk,rating_unique,0.011402992335589168
88,5160,english_uk,rating_unique,0.037795756686184845
89,5161,english_uk,rating_unique,0.016211905449285746
90,5163,german,rating_unique,0.025249121441064837
91,5164,french,rating_unique,0.023444877180736512
92,5166,french,rating_unique,0.01988462487382714
93,5167,french,rating_unique,0.05771926086775869
94,5169,french,rating_unique,0.05822573783562368
95,5170,french,rating_unique,0.015370251855959971
96,5173,german,rating_unique,-0.00886833917741714
97,5174,german,rating_unique,0.01157126935983177
98,5176,german,rating_unique,0.007568944123034216
99,5177,german,rating_unique,0.0239623620444418
100,5178,german,rating_unique,0.0013094983602826016
101,5179,german,rating_unique,0.03487678864774746
102,5180,english_uk,rating_unique,0.03340380268759624
103,5184,english_uk,rating_unique,0.0321506626695689
104,5185,english_uk,rating_unique,0.020964007237987414
105,5186,english_uk,rating_unique,0.04007549005511568
106,5189,french,rating_unique,-0.028229628640570104
107,5191,french,rating_unique,0.04951008628612663
108,5192,french,rating_unique,0.03565433720665934
109,5223,english_uk,rating_unique,0.05090678034742413
110,5224,english_uk,rating_unique,0.041162232932708154
111,5226,english_uk,rating_unique,0.027766973386812888
112,5227,english_uk,rating_unique,0.015722017735242844
113,5228,english_uk,rating_unique,0.022404740711576054
114,5229,english_uk,rating_unique,-0.004719977806273201
115,5230,english_uk,rating_unique,0.014254444009183409
116,5233,french,rating_unique,-0.006872090535532394
117,5237,french,rating_unique,0.022614010977313637
118,5242,german,rating_unique,0.0026073150924945665
119,5244,french,rating_unique,0.022413147833982627
